"","spp","trt","substrate","sample","year","stem.wt","roots.wt","leaves.wt","n.stem","c.stem","n.root","c.root","n.leaf","c.leaf","plant.lma","focal.lma","vcmax","jmax","d.13.C","chi","n.mg","p.mg"
"96","Solanum dulcamara","High","Sand","H SD 2",2,4.9394,2.333,2.2975,0.719675422,42.69084549,1.30161345,39.23291779,1.250805974,40.31625748,31.27607652,35.08101915,30.69139518,59.10150891,24.50880478,0.889770123,78,5.25
"97","Solanum dulcamara","High","Sand","H SD 3",2,4.4386,1.8988,1.9236,0.752628386,42.9079628,1.439835668,39.02793503,1.261471987,41.00564194,37.29974705,39.68423298,23.46765713,51.52093185,23.49578215,0.844946113,78,5.25
"98","Solanum dulcamara","High","Sand","H SD 4",2,5.0189,1.7371,1.4293,0.794246495,43.69867325,1.425938368,41.2706871,1.802672744,41.08815384,28.56165555,30.76808463,38.70733492,84.58442382,24.72264782,0.899232204,78,5.25
"99","Solanum dulcamara","High","Sand","H SD 5",2,4.9213,1.473,1.7907,0.831469476,44.84729767,1.218768477,38.57649994,1.760655999,43.13983154,25.95472418,NA,NA,NA,NA,NA,78,5.25
"100","Solanum dulcamara","High","Sand","H SD 6",2,4.7938,1.8269,2.0445,0.718048155,43.76000214,1.470120311,41.07929993,1.436787963,39.94909286,26.46795658,27.0197244,25.75343577,49.27040378,24.34144977,0.882365034,78,5.25
"101","Solanum dulcamara","High","Sand","H SD 7",2,4.4141,1.6107,1.8369,0.780157506,44.57294464,1.411348462,42.33483124,1.375464439,40.43080139,28.18212952,30.55753262,31.12605043,57.06464161,23.94321048,0.864743827,78,5.25
"102","Holcus lanatus","Natural","Reijerscamp","R I HL 1",2,0.9542,1.6643,1.6761,0.896844625,40.78849411,0.917610288,44.54562759,1.790630937,42.12939453,19.09450184,19.09450184,30.95844972,61.01837489,25.58819489,0.937530747,58.8,4.96
"103","Holcus lanatus","Natural","Reijerscamp","R I HL 2",2,0.9419,1.3402,1.2576,0.836033344,42.1963501,0.869212925,45.04306412,1.934485197,42.18980789,19.62808973,19.62808973,36.69053233,66.83475896,26.10652503,0.960465709,58.8,4.96
"104","Holcus lanatus","Natural","Reijerscamp","R I HL 3",2,1.6231,1.7129,1.7292,0.689488471,41.44138336,0.911009312,45.38789368,1.552298665,41.17331314,20.45286687,17.51544313,19.23040339,39.41145342,26.30867307,0.969410313,58.8,4.96
"105","Holcus lanatus","Natural","Reijerscamp","R I HL 4",2,0.9742,1.6577,1.717,0.686219871,41.00593567,0.743094087,45.8624382,1.392607927,41.52960205,20.83365003,NA,NA,NA,NA,NA,58.8,4.96
